n_splits,max_depth,min_samples_leaf,min_samples_split,n_estimators,random_state,mean_test_score
3,3,1,2,50,7,0.8372528227882815
3,3,1,2,50,21,0.8351036836482791
3,3,1,2,50,42,0.8167290088867954
3,3,1,2,50,123,0.8391687745792994
3,3,1,2,100,7,0.8374678821959126
3,3,1,2,100,21,0.8399141151216551
3,3,1,2,100,42,0.8238045883731093
3,3,1,2,100,123,0.8365932934697087
3,3,1,2,150,7,0.8367968894668479
3,3,1,2,150,21,0.8399589630145327
3,3,1,2,150,42,0.825478697679075
3,3,1,2,150,123,0.8287679790749557
3,3,1,4,50,7,0.8372958100780595
3,3,1,4,50,21,0.8348573005701336
3,3,1,4,50,42,0.8174648717548855
3,3,1,4,50,123,0.8384253569552663
3,3,1,4,100,7,0.8373990241901038
3,3,1,4,100,21,0.8402787346763024
3,3,1,4,100,42,0.8238133818991229
3,3,1,4,100,123,0.8364037898969171
3,3,1,4,150,7,0.8369747029123719
3,3,1,4,150,21,0.8403703422040621
3,3,1,4,150,42,0.8254432777260053
3,3,1,4,150,123,0.8283465820470205
3,3,1,6,50,7,0.8364408687975766
3,3,1,6,50,21,0.8345443788660726
3,3,1,6,50,42,0.8168930769716556
3,3,1,6,50,123,0.8379319902351092
3,3,1,6,100,7,0.8369768687823309
3,3,1,6,100,21,0.8403099601522016
3,3,1,6,100,42,0.8230849471497232
3,3,1,6,100,123,0.8356053708844936
3,3,1,6,150,7,0.8369568393467555
3,3,1,6,150,21,0.8401534374347811
3,3,1,6,150,42,0.8244497669822847
3,3,1,6,150,123,0.8276418619951289
3,3,2,2,50,7,0.8369502613715655
3,3,2,2,50,21,0.8345216248701978
3,3,2,2,50,42,0.8181880776679029
3,3,2,2,50,123,0.8391372129923452
3,3,2,2,100,7,0.8376956801863183
3,3,2,2,100,21,0.8404447095993266
3,3,2,2,100,42,0.8239770353544369
3,3,2,2,100,123,0.8367359818550887
3,3,2,2,150,7,0.8375353512293656
3,3,2,2,150,21,0.8406267561337456
3,3,2,2,150,42,0.8253971110319117
3,3,2,2,150,123,0.8286172704762804
3,3,2,4,50,7,0.8369502613715655
3,3,2,4,50,21,0.8345216248701978
3,3,2,4,50,42,0.8181880776679029
3,3,2,4,50,123,0.8391372129923452
3,3,2,4,100,7,0.8376956801863183
3,3,2,4,100,21,0.8404447095993266
3,3,2,4,100,42,0.8239770353544369
3,3,2,4,100,123,0.8367359818550887
3,3,2,4,150,7,0.8375353512293656
3,3,2,4,150,21,0.8406267561337456
3,3,2,4,150,42,0.8253971110319117
3,3,2,4,150,123,0.8286172704762804
3,3,2,6,50,7,0.8359854439534701
3,3,2,6,50,21,0.8341771912211456
3,3,2,6,50,42,0.8176590571902594
3,3,2,6,50,123,0.8384599901609283
3,3,2,6,100,7,0.8370988907407076
3,3,2,6,100,21,0.8402491903823863
3,3,2,6,100,42,0.8231349401484697
3,3,2,6,100,123,0.8358350545894271
3,3,2,6,150,7,0.837402028921222
3,3,2,6,150,21,0.8402203434474651
3,3,2,6,150,42,0.8243063757375353
3,3,2,6,150,123,0.8277124750559914
3,3,3,2,50,7,0.8356327638844281
3,3,3,2,50,21,0.8326395409891362
3,3,3,2,50,42,0.8170309876693694
3,3,3,2,50,123,0.8358533095838058
3,3,3,2,100,7,0.83629726377502
3,3,3,2,100,21,0.839057431544466
3,3,3,2,100,42,0.8219991865178535
3,3,3,2,100,123,0.8331943894260622
3,3,3,2,150,7,0.8368529033657107
3,3,3,2,150,21,0.8393883740229113
3,3,3,2,150,42,0.8233753437302543
3,3,3,2,150,123,0.8260650675824165
3,3,3,4,50,7,0.8356327638844281
3,3,3,4,50,21,0.8326395409891362
3,3,3,4,50,42,0.8170309876693694
